,id,filename,topic,iteration,buf_size
35045,uark8675aesirpresence23_87613_895004600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence23,8,192
35046,uark8675aesirpresence34_87613_895616900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence34,8,192
35047,uark8675aesirpresence22_87613_910530700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence22,8,192
35048,uark8675aesirpresence14_87613_956695600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence14,8,192
35049,uark8675aesirpresence12_87614_17476700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35050,uark8675aesirpresence11_87614_196354400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35051,uark8675aesirpresence44_87614_882198600,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence44,8,192
35052,uark8675aesirpresence13_87614_965874200,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence13,8,192
35053,uark8675aesirpresence11_87615_198647300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35054,uark8675aesirpresence12_87616_22363300,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence12,8,192
35055,uark8675aesirpresence11_87616_198942100,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35056,uark8675aesirpresence11_87617_223936700,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence11,8,192
35057,uark8675aesirpresence45_87617_875540900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence45,8,192
35058,uark8675aesirpresence32_87617_876384400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence32,8,192
35059,uark8675aesirpresence25_87617_891037000,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence25,8,192
35060,uark8675aesirpresence35_87617_891822400,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence35,8,192
35061,uark8675aesirpresence21_87617_906877900,emitter_pushSplice_192_110223_8.csv,uark8675aesirpresence21,8,192
